id,employee_code,first_name,last_name,email,phone,department,position,annual_salary,hire_date,employment_type,location,status,created_at
db1fa505-d9cc-48ca-9e67-3a7dc4a1e021,EMP-0001,Zainab,Quadri,zainab.quadri@infrest.com,+2348894475340,Executive,Managing Director,17966000.0,2021-01-10,Full-Time,Port Harcourt,Active,2026-02-23 10:54:51.458771
c2cea9ec-7da0-48f3-95d2-4041a87e3fe7,EMP-0002,Zainab,Yakubu,zainab.yakubu@infrest.com,+2348062861709,Executive,Managing Director,20147000.0,2022-01-30,Full-Time,Port Harcourt,Active,2026-02-23 10:54:51.458803
f425c095-0e0b-427a-9a01-773901b2fe8b,EMP-0003,Emeka,Lawal,emeka.lawal@infrest.com,+2348902124172,Executive,Chief Technology Officer,13402000.0,2024-04-07,Full-Time,Lagos,Active,2026-02-23 10:54:51.458821
e924e942-2636-4d55-a146-0504952bfdae,EMP-0004,Zainab,Hassan,zainab.hassan@infrest.com,+2348894519758,Executive,Managing Director,21490000.0,2024-07-04,Full-Time,Lagos,Active,2026-02-23 10:54:51.458836
41305b34-2ce5-4524-83d2-945750f27a0e,EMP-0005,Aisha,Dikko,aisha.dikko@infrest.com,+2348351913687,Executive,Chief Technology Officer,16029000.0,2022-09-29,Full-Time,Abuja,Active,2026-02-23 10:54:51.458849
49eac2f0-7e4e-450f-9b47-46f89fa57a5d,EMP-0006,Janet,Quadri,janet.quadri@infrest.com,+2348869939831,Executive,Managing Director,19702000.0,2023-12-19,Full-Time,Port Harcourt,Active,2026-02-23 10:54:51.458862
db5795c4-a3ee-482e-986b-bb27fe1a6f84,EMP-0007,Gbenga,Garba,gbenga.garba@infrest.com,+2348225838090,Finance,Accounts Payable Officer,2262000.0,2022-05-20,Full-Time,Lagos,Inactive,2026-02-23 10:54:51.458877
941bca12-f90a-4004-a85c-792003442bc3,EMP-0008,Musa,Igwe,musa.igwe@infrest.com,+2348194426849,Finance,Finance Manager,8788000.0,2023-07-26,Full-Time,Lagos,Active,2026-02-23 10:54:51.458890
15407f62-ff85-47c6-83a5-b4962d775fac,EMP-0009,Efe,Victor,efe.victor@infrest.com,+2348448048611,Finance,Accounts Receivable Officer,4795000.0,2023-04-26,Full-Time,Lagos,Active,2026-02-23 10:54:51.458998
d8ac4794-b742-4182-8d98-3930c190e26c,EMP-0010,Olumide,Chukwu,olumide.chukwu@infrest.com,+2349069717785,Finance,Finance Manager,9487000.0,2020-08-09,Full-Time,Port Harcourt,Active,2026-02-23 10:54:51.459095
0e26b1d2-8b1b-4bd8-a9de-dfbcc5d6c82a,EMP-0011,Zainab,Udoh,zainab.udoh@infrest.com,+2348759894713,Finance,Treasury Analyst,4360000.0,2023-06-15,Full-Time,Abuja,Active,2026-02-23 10:54:51.459121
ae5314a1-5f6f-45dc-b898-9a56a685da93,EMP-0012,Wale,Sanusi,wale.sanusi@infrest.com,+2348215362201,Finance,Senior Accountant,6695000.0,2021-06-09,Full-Time,Lagos,Active,2026-02-23 10:54:51.459136
877a5c2c-1c04-4e0e-b21a-cef5eda8d97f,EMP-0013,Funke,Eze,funke.eze@infrest.com,+2348793697606,Finance,Accountant,3069000.0,2019-11-13,Full-Time,Lagos,Active,2026-02-23 10:54:51.459152
b0c1b232-c596-4d15-a02e-8a88bdc299e1,EMP-0014,Ngozi,Balogun,ngozi.balogun@infrest.com,+2349013575047,Finance,Treasury Analyst,4079000.0,2025-06-22,Full-Time,Lagos,Active,2026-02-23 10:54:51.459172
48b4f51b-78a9-483a-bd66-8342f857c878,EMP-0015,Yemi,Sanusi,yemi.sanusi@infrest.com,+2348234441935,Finance,Senior Accountant,5323000.0,2022-02-23,Full-Time,Lagos,Active,2026-02-23 10:54:51.459191
edbb45c5-189f-4783-80a1-1d21a949775a,EMP-0016,Aisha,Eze,aisha.eze@infrest.com,+2348686059333,Finance,Accountant,3397000.0,2019-10-28,Full-Time,Lagos,Active,2026-02-23 10:54:51.459202
ec6961cd-8d1f-40b3-9ca2-8788eedb7a4a,EMP-0017,Janet,Zubairu,janet.zubairu@infrest.com,+2348191072046,Finance,Senior Accountant,6843000.0,2021-08-04,Full-Time,Abuja,Inactive,2026-02-23 10:54:51.459215
ce63a441-1783-4db1-932a-493de6131114,EMP-0018,Zainab,Udoh,zainab.udoh@infrest.com,+2348963467651,Finance,Treasury Analyst,2887000.0,2021-04-02,Full-Time,Lagos,Active,2026-02-23 10:54:51.459227
cfc09f15-3619-4d62-b827-b15e76da2559,EMP-0019,Jumoke,Yakubu,jumoke.yakubu@infrest.com,+2348862960855,Finance,Accounts Payable Officer,4701000.0,2019-07-26,Full-Time,Port Harcourt,Active,2026-02-23 10:54:51.459239
fa5748e6-3969-42d9-a734-d67d41d569eb,EMP-0020,Grace,Lawal,grace.lawal@infrest.com,+2348824274069,Sales,Sales Director,9958000.0,2024-10-26,Full-Time,Lagos,Active,2026-02-23 10:54:51.459253
